id,category_id,categoryname,question,option1,option2,option3,option4,option5,pictures,answer,explanation,,
386,1,Medicine,"A patient presents with right ptosis and visual loss a few hours ago, and later develops weakness of his left arm. What is the most appropriate investigation? ",CT of head,EEG,Lumbar spine MRI,Spinal tap with CSF analysis,,,1,"This is a case of Weber syndrome. This syndrome is due to damage to the structures at the base of the midbrain including the third cranial nerve and the corticospinal and corticobulbar fibers in the cerebral peduncle. It is characterized by complete 3rd nerve palsy and associated with contralateral hemiplegia.Common causes of this syndrome are aneurysm in the posterior parts of the Circle of Willis, tumor, and occlusion in vessels supplying the anterior midbrain.A CT of the head would be an appropriate first step in the work up of this disease.",,
387,1,Medicine,Which of the following foods are okay for a patient with Celiac disease to eat? ,Wheat,Barley,Oats,Rice and corn,,,4,"Celiac disease (nontropical sprue, gluten enteropathy, celiac sprue) is a hereditary intolerance to gluten, a protein found in wheats, barley, and oats, which causes characteristic changes in the lining of the small intestine, resulting in malabsorption. People with celiac disease must exclude all gluten from their diet, since eating even small amounts may cause symptoms. The response to a gluten-free diet is usually rapid. Once gluten is avoided, the brushlike surface of the small intestine and its absorptive function return to normal. Gluten is so widely used in food products that people with celiac disease need detailed lists of foods to be avoided and expert advice from a dietitian. Gluten is found, for example, in commercial soups, sauces, ice cream, and hot dogs.Several grains and starch sources are considered acceptable for a gluten-free diet. The most frequently used are corn, potatoes and rice.",,
388,4,Pediatrics,A newborn is diagnosed with a patent ductus arteriosus (PDA). What type of murmur will you hear in such a patient? ,Diastolic murmur,Friction rub,Continuous machine-like murmur,Holosystolic murmur,,,3,"Patent ductus arteriosus (PDA) is a persistence of the fetal connection (ductus arteriosus) between the aorta and pulmonary artery after birth, resulting in a left-to-right shunt. Symptoms may include failure to thrive, poor feeding, tachycardia, and tachypnea. A continuous machine-like murmur in the upper left sternal border is common. Diagnosis is by echocardiography. Administration of indomethacin with or without fluid restriction may be tried in premature infants with a significant shunt but not in term infants with PDA. If the connection persists, surgical or catheter-based correction is indicated. Endocarditis prophylaxis is recommended before and for 6 to 12 months after correction.",,
389,5,Psychiatry,"An 11 year old girl has become markedly withdrawn during the past 8 months and has complained of persistent abdominal pain and constipation, for which no organic cause has been found. Which one of the following is the most likely diagnosis?  ",Depressive disorder,Schizophrenia,Conduct disorder,Attention deficit hyperactivity disorder,Infantile autism,,1,"Depressive disorders in children and adolescents are characterized by a pervasive and abnormal mood state consisting of sadness or irritability that is severe or persistent enough to interfere with functioning or cause considerable distress. Decreased interest or pleasure in activities may be as or even more apparent than the mood abnormalities. The basic manifestations of childhood depression are similar to those seen in adults but are related to typical concerns of children, such as schoolwork and play. Children may be unable to explain inner feelings or moods. Depression should be considered when a previously well-performing youth does poorly in school, withdraws from society, or commits delinquent acts.Somatic complaints include headaches, abdominal pain, insomnia, anorexia, weight loss, sleep disruption (including nightmares), despondency, and suicidal ideation. Diagnosis is by history and examination. Treatment is with antidepressants, psychotherapy, or both.",,
390,1,Medicine,"A 30 year old woman complains of episodic headache, sweating, palpitations, tingling sensation in her hands, shortness of breath, and severe anxiety. Thorough medical work-up reveals no pathologic condition. During an episode of these symptoms, chemical analysis of the serum will probably reveal which one of the following?  ",Decreased chloride,Increased urea (BUN),Decreased protein,Increased serum amylase,Increased pH,,4,"A pheochromocytoma is a catecholamine-secreting tumor of chromaffin cells typically located in the adrenals. It causes persistent or paroxysmal hypertension. The classic triad of symptoms in patients with a pheochromocytoma consists of episodic headache, diaphoresis, and tachycardia. Other common symptoms and signs include postural hypotension, cold and clammy skin, severe headache, angina, palpitations, nausea, vomiting, epigastric pain, visual disturbances, dyspnea, paresthesias, constipation, and a sense of impending doom.Diagnosis is by measuring catecholamine products in blood or urine. Imaging tests, especially CT or MRI, help localize tumors. Treatment involves removal of the tumor when possible. Drug therapy for control of BP includes a-blockade, possibly combined with -blockade.Ectopic amylase production by lung, ovary, pancreas, and colon malignancies; pheochromocytoma; thymoma; multiple myeloma (increased salivary amylase); and breast cancer (increased pancreatic amylase) are miscellaneous causes of hyperamylasemia.",,
391,1,Medicine,"A 30 year old woman complains of episodic faintness, severe headaches, tingling sensation in her hands, shortness of breath, sweating, tremor, occasional palpitations, and severe anxiety. Thorough medical work-up reveals no pathologic condition. During an episode of these symptoms, laboratory test results would probably reveal which one of the following?  ",Decreased hematocrit,Increased urea (BUN),Decreased protein,Increased catecholamines in urine,Normal serum glucose level,,4,"A pheochromocytoma is a catecholamine-secreting tumor of chromaffin cells typically located in the adrenals. It causes persistent or paroxysmal hypertension. The classic history of a patient with a pheochromocytoma includes spells characterized by headaches, palpitations, and diaphoresis in association with severe hypertension. These 4 characteristics together are strongly suggestive of a pheochromocytoma.Characteristic Laboratory Test Findings:1) increased catecholamines in urine (vanillymandelic acid and metanephrine) 2) increased erythropoietin/hematocrit 3) increased sed rate 4) increased IL-6 5) increased amylase 6) hypoglycemia or hyperglycemiaCommon symptoms and signs are paroxysms of tachycardia, diaphoresis, postural hypotension, tachypnea, cold and clammy skin, severe headache, angina, palpitations, nausea, vomiting, epigastric pain, visual disturbances, dyspnea, paresthesias, constipation, and a sense of impending doom.Diagnosis is by measuring catecholamine products in blood or urine. Imaging tests, especially CT or MRI, help localize tumors. Treatment involves removal of the tumor when possible. Drug therapy for control of BP includes alpha-blockade, possibly combined with beta-blockade.",,
392,5,Psychiatry,"A 27 year old man is suspicious of others, superstitious, believes he possesses telepathic powers, and has no friends. Which one of the following is most likely to be associated with this clinical description?  ",Passive-aggressive personality disorder,Histrionic personality disorder,Schizotypal personality disorder,Avoidant personality disorder,Obsessive-compulsive personality disorder,,3,"Those with schizotypal personality disorder may share symptoms of schizophrenia, but they are generally not so severe as to meet the criteria for psychosis. People with this disorder tend to be shy and to isolate themselves and may show mild suspiciousness and other disturbances in thinking. Genetic studies indicate that schizotypal personality disorder may be a mild form of schizophrenia.A. Passive-aggressive personality disorder is a long-term (chronic) condition in which a person seems to actively comply with the desires and needs of others, but actually passively resists them. In the process, the person becomes increasingly hostile and angry. People with this disorder resent responsibility and show it through their behaviors, rather than by openly expressing their feelings. They often use procrastination, inefficiency, and forgetfulness to avoid doing what they need to do or have been told by others to do.B. Histrionic personality disorder is one of a group of conditions called dramatic personality disorders. People with this disorder have intense, unstable emotions and distorted self-images. They have an overwhelming desire to be noticed, and often behave dramatically or inappropriately to get attention.D. People with avoidant personality disorder are preoccupied with their own shortcomings. They form relationships with others only if they believe they will not be rejected. Loss and rejection are so painful that these people will choose to be lonely rather than risk trying to connect with others.E. Obsessive-compulsive personality disorder is a condition in which a person is preoccupied with rules, orderliness, and control. ",,
393,4,Pediatrics,A 2 year old boy with visible abdominal distention is found to have a large left-sided flank mass. Which one of the following is the most likely diagnosis?  ,Renal cell carcinoma,Polycystic kidney,Transitional cell carcinoma,Wilms tumour,Hydronephrosis,,4,"Wilms tumor is an embryonal cancer of the kidney composed of blastemal, stromal, and epithelial elements. Genetic abnormalities have been implicated in the pathogenesis, but familial inheritance accounts for only 1 to 2% of cases. Wilms' tumor usually presents in children &lt; 5 yr but occasionally in older children and rarely in adults. Wilms' tumor accounts for about 6% of cancers in children &lt; 15 yr.The most frequent presentation is a painless, palpable abdominal mass. Less frequent findings include abdominal pain, hematuria, fever, anorexia, nausea, and vomiting.Diagnosis is made by ultrasound and abdominal CT scan and confirmed by biopsy. Treatment may include surgical resection, chemotherapy, and radiation therapy.",,
394,4,Pediatrics,"A 3 year old with a history of asthma is brought to the Emergency Department in acute respiratory distress. His mother relates that she stopped his twice daily sodium cromoglycate 1 week ago. Physical examination reveals a distressed child with a harsh cough. On auscultation of the chest, there are areas of reduced air entry and diffuse expiratory wheezes. Which one of the following is the most appropriate initial management?  ",Aerosolized ipratropium bromide by nebulization,Aerosolized sodium cromoglycate by nebulization,Aerosolized budesonide,"Subcutaneous epinephrine, 1:1000 dilution",Aerosolized salbutamol by nebulization,,5,"The most severe form of asthma is called status asthmaticus. In this condition, the lungs are no longer able to provide the body with adequate oxygen or adequately remove carbon dioxide. Without oxygen, many organs begin to malfunction. The buildup of carbon dioxide leads to acidosis, an acidic state of the blood that affects the function of almost every organ. Blood pressure may fall to low levels. The airways are so narrowed that it is difficult to move air in and out of the lungs.Status asthmaticus requires intubation and ventilator support as well as maximum doses of several medications such as salbutamol or albuterol. Which are a short-acting Beta2-adrenergic receptor agonists used for the relief of bronchospasm.",,
395,4,Pediatrics,"A 13 year old boy states that he is growing breasts and that they hurt. He has been growing taller this past year. He has no other complaints. On physical examination you note some acne on his face, his testes and phallus are appropriate for age, and he has fine sparse pubic hair. Which one of the following is the most likely diagnosis?  ",Normal puberty,Klinefelter's syndrome,Pituitary tumor,Adrenal tumor,Gonadal tumor,,1,"Normal puberty is a period in a boy's life between the ages of 13-18 (may occur as early as 8) in which his body starts to grow and mature. These changes are the result of chemicals known as hormones. In boys undergoing puberty, testosterone is the hormone that is responsible for the changes that will transform them physically and psychologically into an adult male. Body changes include: growing taller, growing body hair, growing broader shoulders, muscles grow bigger and stronger, the hands and feet grow larger, the ears enlarge, pimples or zits (acne) may develop, the voice changes and becomes deeper. In addition penis size increases, enlargement of the testicles (may even be sensitive), temporarily enlarged and painful breasts and experiencing more erections.",,
396,4,Pediatrics,"A full-term infant presents to your office at 7 days of age with bilateral purulent conjunctive discharge, erythema and swelling at the medial aspect of the eyes. Which one of the following is the most likely diagnosis?  ",Neisseria gonorrhoeae infection,Herpes simplex infection,Nasolacrimal duct inflammation due to Staphylococcus aureus,Chemical irritation from eye ointment received at delivery,Chlamydia infection,,5,"Neonatal conjunctivitis is purulent ocular drainage due to a chemical irritant or a pathogenic organism. Topical prevention is routine. Chlamydia trachomatis is the most common cause of bacterial conjunctivitis in neonates. Chlamydial ophthalmia usually occurs 5 to 14 days after birth. It may range from mild conjunctivitis with minimal mucopurulent discharge to severe eyelid edema with copious drainage and pseudomembrane formation. Follicles are not present in the conjunctiva, as they are in older children and adults.In chlamydial ophthalmia, systemic therapy is the treatment of choice, because at least 12 of affected neonates also have nasopharyngeal infection and some develop chlamydial pneumonia. Erythromycin 12.5 mg/kg po q 6 h for 2 weeks is recommended. Efficacy of this therapy is only 80%, so a 2nd treatment course may be needed.",,
397,2,OBGYN,"A 30 year old primigravida presents at 34 weeks gestational age with blood pressure of 160/90 mmHg, headache, epigastric pain, visual abnormalities and 3+ proteinuria. Biophysical profile of the fetus is 8/8. Which one of the following is the best course of action?  ",Induce labour and attempt vaginal delivery,Start magnesium sulfate intravenously,Perform an emergency C-section,Give betaclomethasone to induce fetal lung maturity,Perform an amniocentesis to assess fetal lung maturity,,2,"Preeclampsia is pregnancy-induced hypertension plus proteinuria. Eclampsia is unexplained generalized seizures in patients with preeclampsia. Preeclampsia and eclampsia develop between 20 weeks gestation and the end of the 1st week postpartum.Patients with severe preeclampsia require Magnesium sulfate as soon as diagnosis is made. When delivery is delayed before about 32 to 34 weeks in patients who are not clinically deteriorating, corticosteroids are given for 48 h. Delivery is mandated at 34 weeks or when deterioration of maternal or fetal status or documentation of fetal lung maturity occurs. Eclampsia always requires delivery after seizures and severe hypertension have been controlled. All hospitalized patients are checked frequently for seizures, symptoms of severe preeclampsia, and vaginal bleeding. BP, reflexes, and fetal heart rate are monitored continuously or several times a day.Patients with severe preeclampsia or with eclampsia are often admitted to the ICU. These patients IV Mg sulfate to stop or prevent seizures and reduce reflex reactivity and BP. Dose is adjusted based on the patient's reflexes, blood pressure, and serum Mg levels.",,
398,2,OBGYN,"All of the following are considered possible indications for cesarean section, except: ",Placenta previa,Fetal distress,Genital herpes,Carcinoma in situ of the cervix,Prior urethropexy,,4,"Abnormal placentation (as in the presence of a placenta previa), nonreassuring fetal heart rate, genital herpes infections and a prior urethropexy are all indications for a cesarean section. Carcinoma in situ of the cervix is not.",,
399,5,Psychiatry,"Under certain circumstances, it may be legitimate to detain individuals in an institution against their wishes, for their own good and to protect others. This situation may arise when  ",A person has bizarre fantasies and actions,Persons are mentally incompetent and unable to manage their own affairs,A close relative submits a petition that an individual is insane,The individual's continued liberty poses a danger,A person has visual and aural hallucinations,,4,Involuntary admission to a hospital is allowed when a person:1) has a mental disorder and2) needs inpatient care or treatment and3) presents a danger to the life or safety of the person or others and4) is unable or unwilling to be admitted voluntarily and5) there is no available less restrictive form of intervention that is consistent with their welfare and safety.,,
400,1,Medicine,A man develops swelling in his knee. It is red and warm. An arthrocentesis is performed and comes back showing rhomboid positively bifringent crystals. What is your treatment? ,Allopurinol,Probenacid,Colchicine,Indomethacin,,,4,"Pseudogout (CPPD - calcium pyrophosphate dihydrate crystal deposition disease) is a disorder caused by deposits of calcium pyrophosphate crystals in the cartilage and then in the fluid of the joints, leading to intermittent attacks of painful joint inflammation. Symptoms vary widely. Some people have attacks of painful joint inflammation, usually in the knees, wrists, or other relatively large joints. Diagnosis is by taking fluid from an inflamed joint through a needle (joint aspiration). Positively bifringent calcium pyrophosphate crystals (rather than urate crystals) are found in the joint fluid.Treatment is with nonsteroidal anti-inflammatory drugs (NSAIDs) such as indomethacin.",,
401,1,Medicine,Which of the following syndromes is not associated with HLA-B27?,Reiter syndrome,Psoriatic Arthritis,Ankylosing Spondylitis,Behcet syndrome,,,4,"Spondyloarthropathies share certain clinical characteristics (eg, back pain, uveitis, GI symptoms, rashes). Some are strongly associated with the HLA-B27 allele. Clinical and genetic similarities suggest that they also share similar causes or pathophysiologies. Rheumatoid factor is negative in the spondyloarthropathies (hence, they are also called the seronegative spondyloarthropathies). They include ankylosing spondylitis, reactive arthritis, psoriatic arthritis and Reiter's syndrome.",,
402,4,Pediatrics,Which of the following is not part of the normal developmental milestones for a 24 month old child? ,Builds tower of four blocks or more,Begins to run,Scribbles spontaneously,Begins to copy some capital letters,,,4,"Choices a), b) and c) are part of the developmental milestones up to the age of 2. Choice d) is part of the developmental milestones by the end of 4 years.",,
403,2,OBGYN,Oral contraceptive pills have been shown to raise the risk of which of the following?: ,Ovarian cancer,Breast cancer,Endometrial cancer,Cervical cancer,Ovarian cysts,,2,"Possible side effects of oral contraceptive pills (OCP's) include vaginal discharge, changes in menstrual flow, breakthrough bleeding, unusual build-up of the uterine lining, nausea, headaches, depression, vaginitis, urinary tract infection, changes in the breasts, changes in blood pressure, skin problems, skin improvements, and gum inflammation. Cautions and contraindications for OCP use are: coagulation, increasing the risk of deep venous thrombosis (DVT) and pulmonary embolism (PE), stroke and heart attack. Combined oral contraceptives are generally accepted to be contraindicated in women with pre-existing cardiovascular disease, in women who have a familial tendency to form blood clots (such as familial factor V Leiden), women with severe obesity and/or hypercholesterolemia, and in smokers over age 35.There is a small increase in the relative risk of breast cancer while taking OCP's.Note: Oral contraceptive pills decrease chance of getting endometrial cancer, ovarian cancer, and ovarian cysts. ",,
404,2,OBGYN,A 19 year old has intercourse with her boyfriend. Later she finds a tear in her diaphragm contraceptive device. She comes in to see you the next day worried about pregnancy that she does not want. What is an appropriate action? ,Do pregnancy test,Reassurance,"Oral contraceptive pills, daily for 2 weeks","Levonorgestrel, one pill now and another in 12 hours",,,4,"Emergency contraception, the so-called morning-after pill, consists of hormones or drugs that affect hormones. It is used within 72 hours after one act of unprotected sexual intercourse or after one occasion when a contraceptive method fails (for example, when a condom breaks).Emergency contraception decreases the chance of pregnancy after one act of unprotected intercourse, including when the act occurs near the time the egg is released (ovulation)when conception is most likely. Near ovulation, the chance of pregnancy is about 8% without contraception. The sooner emergency contraception is taken, the more likely it is to be effective.Levonorgestrel is a progestin often taken in lower doses for contraception, is most commonly used. Usually, one dose is taken by mouth, followed by another dose 12 hours later. If the first dose is taken within 72 hours of intercourse, the chance of pregnancy decreases by almost 90%. If the first dose is taken within 24 hours of intercourse, the chance decreases by about 95%.",,
405,4,Pediatrics,A 5 year old boy is found to have unusual cravings for dirt and ice. He has also been seen eating paint chips of the walls. What is the most likely condition to be found in this child? ,Lead poisoning,Iron overload,Copper toxicity,Inhalant exposure,,,1,"Pica, is the term used to describe craving for and eating nonnutritious things such as dirt and ice. Pica is often diagnosed in a hospital emergency room, when the child or adolescent develops symptoms of lead poisoning, bowel perforation, or other medical complications caused by the nonfood items that have been swallowed.Most commonly, young children get lead poisoning from lead-based paint, which was used in many old homes. That's why kids who live in older homes are at a greater risk for lead poisoning. These children are found to have unsafe levels of lead in their blood, which can lead to a wide range of symptoms, from headaches and stomach pain to behavioral problems and anemia. Lead can also affect a child's developing brain.",,
406,1,Medicine,A gunshot wound to the upper arm causing shock-wave damage to the median nerve may leave the patient with which one of the following?  ,Easily provoked pain in the hand,Weakness on wrist extension,Atrophy in the first dorsal interosseous muscle,Numbness over the fifth digit,Positive Froment's sign,q333.jpg,1,"Distal median nerve dysfunction is a form of peripheral neuropathy that affects the movement of or sensation in the hands. A common type of distal median nerve dysfunction is carpal tunnel syndrome.Distal median nerve dysfunction occurs when the nerve is inflamed, trapped, or injured by trauma. Trapping (entrapment) involves pressure on the nerve where it passes through a narrow area. Wrist fractures may injure the median nerve directly or may increase the risk for trapping a nerve later on.Sensation changes of the thumb and first 2 fingers, numbness, decreased sensation, tingling, burning sensation, waking up at night with wrist or hand pain (may be severe), weakness of the hand, dropping things and difficulty grasping objects.-Weakness on wrist extension is more indicative of radial nerve or C7 nerve root involvement-Atrophy in the first dorsal interosseous muscle is seen in compression of the ulnar nerve-Numbness over the fifth digit is seen in ulnar nerve entrapment-Froment's sign: Assessing ulnar nerve damage. The patient is asked to hold a sheet of paper firmly between the 3rd and 4th fingers. If the examiner can pull the paper from between the fingers the test is positive. Rationale; the ADductors have purely Ulnar nerve supply, the ABductors have shared innervation. ",,
407,1,Medicine,"A 50 year old man presents to the emergency room with severe epigastric pain, low-grade fever, tachycardia, and mild hypotension. The patient relates a history of moderate to heavy social drinking. The chief resident suspects acute pancreatitis. Which one of the following is the single most important laboratory finding to confirm the diagnosis of pancreatitis?  ",Hyperlipidemia,Hyperbilirubinemia,Elevated serum amylase,Elevated serum phospholipase A,Elevated serum alkaline phosphatase,,3,"Acute pancreatitis is inflammation of the pancreas (and, sometimes, adjacent tissues) caused by the release of activated pancreatic enzymes. The most common triggers are biliary tract disease and chronic heavy alcohol intake. The condition ranges from mild (abdominal pain and vomiting) to severe (pancreatic necrosis and a systemic inflammatory process with shock and multiorgan failure). Diagnosis is based on clinical presentation and serum amylase and lipase levels. Treatment is supportive, with IV fluids, analgesics, and fasting.",,
408,1,Medicine,"A 22 year old male, working as a waiter in a nightclub, noticed a gradual hearing loss. He admitted that the noise level in his job is very high and that he was not advised to wear ear protection. Which one of the following does he most likely suffer from?  ",Sensory hearing loss and vertigo,Both sensory and conductive hearing loss,Conductive hearing loss and ataxia,Sensory hearing loss and tinnitus,Conductive hearing loss and nystagmus,,4,"When we are exposed to harmful noise, sounds that are too loud or loud sounds that last a long time, sensitive structures in our inner ear can be damaged, causing noise-induced hearing loss (NIHL). Continuous exposure to loud noise also can damage the structure of hair cells, resulting in hearing loss and tinnitus, although the process occurs more gradually than for impulse noise. NIHL is 100 percent preventable. All individuals should understand the hazards of noise and how to practice good hearing health in everyday life. To protect your hearing: Know which noises can cause damage (those at or above 85 decibels). Wear earplugs or other hearing protective devices when involved in a loud activity.",,
409,1,Medicine,"A 68 year old man presents with a chief complaint that solid food gets stuck in the middle of his chest. In addition, he admits to a 11 kg weight loss over the last 3 months. Which one of the following is the most likely diagnosis?  ",Esophagitis,Lower esophageal ring,Esophageal carcinoma,Cerebrovascular accident,Myocardial infarction,,3,"The most common malignant esophageal tumor is squamous cell carcinoma, followed by adenocarcinoma. Symptoms are progressive dysphagia and weight loss. Diagnosis is by endoscopy, followed by CT and endoscopic ultrasound for staging. Treatment varies with stage and generally includes surgery with or without chemotherapy and radiation. Long-term survival is poor except for those with local disease.",,
410,1,Medicine,"A 52 year old man with a long history of alcohol use comes to the emergency room of a general hospital. He is confused and on examination is noted to have palsies of conjugate gaze, horizontal nystagmus, and ataxia. Which one of the following is the most likely diagnosis?  ",Conversion reaction,Alcohol intoxication,Alcohol hallucinosis,Delirium tremens,Wernicke's encephalopathy,,5,"Wernicke's encephalopathy is a disorder characterized by acute onset of confusion, nystagmus, partial ophthalmoplegia, and ataxia due to thiamin deficiency. Diagnosis is primarily clinical. The disorder may remit with treatment, persist, or degenerate into Korsakoff's psychosis. Treatment consists of thiamine and supportive measures. Wernicke's encephalopathy results from inadequate intake or absorption of thiamine plus continued carbohydrate ingestion. Severe alcoholism is a common underlying condition. Excessive alcohol intake interferes with thiamine absorption from the GI tract and hepatic storage of thiamine; the poor nutrition associated with alcoholism often precludes adequate thiamine intake. Wernicke's encephalopathy may also result from other conditions that cause prolonged undernutrition or vitamin deficiency (eg, recurrent dialysis, hyperemesis, starvation, gastric plication, cancer, AIDS).",,
411,1,Medicine,"A 71 year old woman with a history of coronary artery disease presents to her family physician for a routine check-up. The physician notices that she has lost 10 kg since her last visit 6 months ago. When questioned, she gives a history of intermittent periumbilical pain that always begins 30 minutes after eating and lasts about 2 hours. She claims that the pain is worse after large meals and so she has begun to eat less out of fear of pain. Which one of the following is the most likely diagnosis?  ",Pancreatitis,Cholecystitis,Small bowel obstruction,Intestinal ischemia,Diverticulitis,,4,"A diminished blood flow to the small intestine or colon is called intestinal ischemia. Chronic intestinal ischemia, in which blood flow to the intestines is reduced over time, is characterized by: -abdominal cramps or fullness, beginning within 30 minutes after eating and lasting one to three hours. -abdominal pain that gets progressively worse over weeks or months. -fear of eating because of subsequent pain. -unintended weight loss.An angiography involves guiding a catheter through an artery in groin up into the aorta and injecting a dye (radiographic contrast medium). Although invasive, angiography has traditionally been considered the gold standard in evaluating mesenteric ischemia. Its advantage is that it allows for simultaneous removal of a blood clot through the catheter or administration of medications to improve intestinal blood flow.",,
412,1,Medicine,"In a woman under 40 years of age, which one of the following breast abnormalities would have the highest predictive value for malignancy?  ","Painful, moveable mass","Painless, moveable mass",Blood nipple discharge,Clear nipple discharge,Breast skin edema with dimpling,,5,"Most breast cancers are discovered as a lump by the patient or during routine physical examination or mammography. Less commonly, the presenting symptom is breast pain or enlargement or a nondescript thickening in the breast. A common finding during physical examination is a dominant mass, a lump distinctly different from the surrounding breast tissue. Diffuse fibrotic changes in a quadrant of the breast, usually the upper outer quadrant, are more characteristic of benign disorders; a slightly firmer thickening in one breast but not the other may be a sign of cancer. More advanced breast cancers are characterized by fixation of the lump to the chest wall or to overlying skin, by satellite nodules or ulcers in the skin, or by exaggeration of the usual skin markings resulting from lymphedema (so-called peau d'orange).",,
413,1,Medicine,A 68 year old man presents with cardiac arrest due to ventricular rupture. Which one of the following myocardial changes is the most frequent cause?  ,Abscess formation and tissue destruction due to infective endocarditis,Fatty change due to interaction of diphtheria exotoxin and carnitine,Aschoff bodies associated with rheumatic fever,Inflammation due to coxsackie B infection,Necrosis due to coronary artery obstruction,,5,"The most common cause of myocardial infarction is narrowing of the coronary blood vessels due to atheromatous plaques. Plaque rupture with subsequent exposure of the basement membrane results in platelet aggregation, thrombus formation, fibrin accumulation, hemorrhage into the plaque, and varying degrees of vasospasm. This can result in partial or complete occlusion of the vessel and subsequent myocardial ischemia. Total occlusion of the vessel for more than 4-6 hours results in irreversible myocardial necrosis, but reperfusion within this period can salvage the myocardium and reduce morbidity and mortality.",,
414,1,Medicine,A 49 year old man who smokes two packs of cigarettes a day presents with a lung mass on x-ray and recent weight gain. Laboratory examination shows hyponatremia with hyperosmolar urine. The patient probably has which one of the following diagnoses?  ,Renal failure,Pituitary failure,Conn's syndrome,Cardiac failure,Inappropriate ADH (secretion),,5,"SIADH (syndrome of inappropriate secretion of anti-diuretic hormone) is a common paraneoplastic syndrome that affects the endocrine system. This syndrome is most often associated with small-cell lung cancer; however, other cancers such as brain tumors, leukemia, lymphoma, colon, prostate, and head and neck cancers can lead to SIADH. SIADH is caused by the inappropriate production and secretion of arginine vasopressin or antidiuretic hormone (ADH) by tumor cells. Patients with SIADH may not have symptoms, especially in the early stages. When symptoms do occur they are usually related to hyponatremia, which leads to central nervous system toxicity if left untreated. Lab values will show concentrated urine in the presence of plasma hypo-osmolality (hyponatremia).Signs and symptoms associated with hyponatremia include fatigue, anorexia, headache and mild alteration in mental status in early stages. If SIADH remains untreated, symptoms can progress to confusion, delirium, seizures, coma, and death. Treatment approaches for SIADH are to treat the underlying tumor and restriction of fluids. More severe cases may require the administration of medications.",,
415,5,Psychiatry,Which one of the following types of hallucination is normal? ,Hypnagogic,Tactile,Olfactory,Auditory,,,1,"Hypnagogic phenomena are particularly vivid auditory or visual illusions or hallucinations that may occur when just falling asleep. They are difficult to distinguish and are somewhat similar to vivid dreams, which are normal in REM sleep. Hypnagogic phenomena occur in about 13 of patients with narcolepsy, are common among healthy young children, and occasionally occur in healthy adults. Note: Hypnagogic hallucinations and hypnopompic hallucinations are considered normal phenomena. Hypnagogic hallucinations can occur as one is falling asleep and hypnopompic hallucinations occur when one is waking up. ",,
416,1,Medicine,"A 20 year old college student presents to you with a history of intermittent chest pain for about 6 months. He states that the pain can occur at any time, but often occurs late in the day  and is usually accompanied by a bitter taste in his mouth. The pain can be dull, or aching and may last for hours. He is physically active and is carrying a full academic load. The pain is unrelated to exercise and does not restrict his activities. His father and paternal uncle have both had myocardial infarctions within the past year. Physical examination is normal, although the patient appears restless and has a heart rate of 100/min. Which one of the following is the most likely diagnosis?  ",Reflux esophagitis,Generalized anxiety disorder,Transient myocardial ischemia,Myocardial infarction,Costochondritis,,1,"Esophagitis is a common medical condition usually caused by gastroesophageal reflux. Less frequent causes of esophagitis include infectious esophagitis (in patients who are immunocompromised), radiation esophagitis, and esophagitis from direct erosive effects of ingested medication or corrosive agents.The most common complaint in patients with esophagitis is heartburn (dyspepsia), a burning sensation in the mid chest caused by contact of stomach acid with inflamed esophageal mucosa. Symptoms often are maximal while the person is supine, bending over, wearing tight clothing, or has eaten a large meal.Water brash is a bitter taste of refluxed gastric contents often associated with heartburn.Other common symptoms of esophagitis include upper abdominal discomfort, nausea, bloating, and fullness. Less common symptoms of esophagitis include dysphagia, odynophagia, cough, hoarseness, wheezing, and hematemesis.The patient may experience chest pain indistinguishable from that of coronary artery disease. Pain is often midsternal with radiation to the neck or arm and may be associated with shortness of breath and diaphoresis. Chest pain may be relieved with nitrates if esophageal spasm is involved, further confounding diagnostic evaluation.The physical examination usually is not helpful in confirming the diagnosis of uncomplicated esophagitis. However, the examination may reveal other potential sources of chest or abdominal pain.Diagnosis is clinical, sometimes with endoscopy, with or without acid testing. Treatment involves lifestyle modification, acid suppression using proton pump inhibitors, and sometimes surgical repair. ",,
417,5,Psychiatry,"A 25 year old man is hospitalized after weeks of worsening psychosis. He is given thiothixene, an antipsychotic medication. Five days later, he develops a fever of 39.8 C, becomes delirious and lies stiffly in his bed. His family reports that he had been physically well prior to his admission. Which of the following diagnosis is of most immediate concern?  ",Tardive dyskinesia,Viral meningitis,Neuroleptic malignant syndrome,Ruptured cerebral aneurysm,Unsuspected opioid dependence,,3,"Neuroleptic malignant syndrome is a hypermetabolic reaction to antipsychotics, particularly dopamine-receptor antagonists (eg thiothixene), although any antipsychotic can be involved. This syndrome usually occurs early in treatment or after an increase in dosage and rarely during maintenance treatment unless other physical conditions such as dehydration occur. It develops in up to 3% of patients started on antipsychotics. Risk is increased in agitated males who have received large and rapidly increased doses. No genetic component is apparent. Its pathophysiologic basis is believed to be blockade of dopamine D2 receptors.Characteristic signs are lead pipe muscle rigidity, hyperpyrexia, tachycardia, hypertension, tachypnea, change in mental status, confusion, and diaphoresis. Common complications include MI, aspiration pneumonia, respiratory failure, acidosis, and rhabdomyolysis. Less common complications include thromboembolism and renal failure. Mortality approaches 30%.Diagnosis is based on clinical findings. Treatment is usually administered in an ICU with the dopamine agonist bromocriptine or dantrolene.",,
